Method;Text size;Alphabet size;Pattern size;Wildcards;Time
Native;100000;2;1300;0;2654736
KMP;100000;2;1300;0;2150713
KMP_O;100000;2;1300;0;2271982
Native;100000;2;1300;1;2638372
KMP;100000;2;1300;1;2072483
KMP_O;100000;2;1300;1;2172355
Native;100000;2;1300;2;2587058
KMP;100000;2;1300;2;2066837
KMP_O;100000;2;1300;2;2254013
Native;100000;2;1300;3;2620521
KMP;100000;2;1300;3;2061637
KMP_O;100000;2;1300;3;2269112
Native;100000;2;1300;4;2584064
KMP;100000;2;1300;4;2100202
KMP_O;100000;2;1300;4;2285301
Native;100000;4;1300;0;2667104
KMP;100000;4;1300;0;2074850
KMP_O;100000;4;1300;0;2230905
Native;100000;4;1300;1;3313481
KMP;100000;4;1300;1;2454667
KMP_O;100000;4;1300;1;2625744
Native;100000;4;1300;2;2681192
KMP;100000;4;1300;2;2006895
KMP_O;100000;4;1300;2;2254512
Native;100000;4;1300;3;2677017
KMP;100000;4;1300;3;2028034
KMP_O;100000;4;1300;3;2218401
Native;100000;4;1300;4;2592784
KMP;100000;4;1300;4;2050149
KMP_O;100000;4;1300;4;2200651
Native;10000;2;1400;0;235986
KMP;10000;2;1400;0;240192
KMP_O;10000;2;1400;0;309584
Native;10000;2;1400;1;237248
KMP;10000;2;1400;1;226391
KMP_O;10000;2;1400;1;261947
Native;10000;2;1400;2;243629
KMP;10000;2;1400;2;226605
KMP_O;10000;2;1400;2;261049
Native;10000;2;1400;3;237323
KMP;10000;2;1400;3;226411
KMP_O;10000;2;1400;3;263170
Native;10000;2;1400;4;237766
KMP;10000;2;1400;4;225818
KMP_O;10000;2;1400;4;262027
Native;10000;4;1400;0;240822
KMP;10000;4;1400;0;226668
KMP_O;10000;4;1400;0;249631
Native;10000;4;1400;1;243385
KMP;10000;4;1400;1;229359
KMP_O;10000;4;1400;1;250792
Native;10000;4;1400;2;235442
KMP;10000;4;1400;2;226448
KMP_O;10000;4;1400;2;289513
Native;10000;4;1400;3;235742
KMP;10000;4;1400;3;225811
KMP_O;10000;4;1400;3;366165
Native;10000;4;1400;4;238678
KMP;10000;4;1400;4;228700
